,Age,Hours per day,While working,Instrumentalist,Composer,Exploratory,Foreign languages,Frequency [Classical],Frequency [Country],Frequency [EDM],Frequency [Folk],Frequency [Gospel],Frequency [Hip hop],Frequency [Jazz],Frequency [K pop],Frequency [Latin],Frequency [Lofi],Frequency [Metal],Frequency [Pop],Frequency [R&B],Frequency [Rap],Frequency [Rock],Frequency [Video game music],Depression
210,35.0,1.0,1,0,0,1,1,2,1,2,1,0,2,1,1,0,0,0,3,1,1,2,1,0
211,20.0,3.0,0,0,0,1,0,0,3,0,0,0,0,0,0,0,0,3,3,0,2,3,1,1
212,18.0,3.0,1,0,0,1,1,1,0,0,2,0,3,2,0,2,2,0,3,1,3,3,3,1
213,21.0,1.0,0,0,0,0,1,0,0,2,0,0,1,0,2,2,1,0,3,2,1,2,1,1
214,19.0,6.0,1,0,0,1,1,0,0,1,3,0,1,1,0,3,1,2,3,1,2,3,1,0
215,37.0,4.0,1,0,0,1,0,1,2,2,2,0,3,1,0,0,2,2,2,3,3,3,0,0
216,31.0,2.0,1,0,0,1,1,2,1,1,2,0,2,1,1,2,3,3,2,2,2,3,3,0
217,29.0,2.0,1,1,0,1,1,0,2,1,3,2,1,1,1,1,1,2,1,3,1,3,1,0
218,20.0,3.0,1,0,0,1,1,2,1,1,3,0,1,2,0,0,2,2,3,1,1,3,2,0
219,36.0,8.0,1,1,1,0,1,2,1,2,1,0,1,1,0,0,0,3,1,0,1,2,3,0
220,18.0,3.0,1,1,0,1,0,2,0,0,1,0,0,2,0,0,1,1,2,0,0,3,1,0
221,18.0,2.0,1,0,0,1,1,1,0,2,0,0,0,0,3,0,0,1,2,0,0,1,0,0
222,25.0,7.0,1,0,0,0,1,0,2,3,1,1,2,0,3,1,1,1,3,2,2,1,2,0
224,31.0,9.0,1,0,0,1,1,1,1,1,2,0,0,1,1,1,3,2,3,0,1,2,2,0
225,17.0,2.0,1,0,0,1,1,1,1,1,1,1,2,2,2,0,0,1,3,1,2,2,0,0
226,21.0,1.0,1,0,0,0,1,0,1,0,3,0,1,2,0,0,1,1,1,0,0,2,3,0
227,30.0,1.0,0,0,0,0,0,0,3,0,0,0,2,0,0,0,0,0,3,1,2,2,1,1
228,40.0,2.0,1,0,0,1,1,2,0,2,1,0,1,1,0,0,1,3,1,1,1,3,0,0
229,64.0,4.0,1,0,0,0,0,2,1,2,1,0,1,2,1,1,0,1,2,1,1,2,1,0
230,14.0,2.0,1,1,0,1,1,1,0,0,2,0,2,1,0,0,0,2,3,1,2,3,1,0
231,26.0,6.0,1,0,0,1,0,2,0,0,1,0,1,2,0,0,0,1,2,0,1,3,0,0
232,35.0,4.0,1,1,1,1,1,1,3,1,2,1,3,2,1,2,2,2,2,1,2,3,0,1
233,33.0,1.0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,2,1,1,3,0,1
234,30.0,6.0,1,0,0,1,1,2,1,0,3,1,0,1,0,0,2,2,1,0,0,3,0,0
236,27.0,5.0,1,0,1,1,1,1,0,2,3,2,1,1,2,2,3,2,3,2,0,3,3,1
237,53.0,1.5,0,0,0,1,1,1,0,3,2,0,2,0,1,2,0,0,3,1,2,2,0,0
238,23.0,5.0,1,1,1,1,1,2,1,0,1,0,0,1,0,0,0,3,1,0,0,3,0,1
239,25.0,2.0,1,0,1,1,0,1,1,3,1,0,2,2,2,0,1,3,3,1,2,3,1,0
240,16.0,4.0,1,1,0,1,1,3,1,1,2,1,3,2,3,2,3,3,3,2,1,2,1,1
241,18.0,2.0,1,1,1,1,0,0,0,1,1,0,1,0,0,0,1,0,1,0,1,3,0,1
242,29.0,5.0,1,1,1,1,1,3,0,0,1,0,0,1,0,0,0,1,2,1,0,2,0,0
243,31.0,6.0,1,0,0,1,1,1,1,3,1,0,2,0,0,0,1,1,2,2,2,2,2,0
244,31.0,1.0,0,0,0,0,1,2,1,0,0,0,1,0,0,2,0,2,1,1,1,3,2,1
